Abashiri Station,網走駅（あばしり）
Toro Station,土呂駅（とろ）
Tōro Station,塘路駅（とうろ）
Torokko Arashiyama Station,トロッコ嵐山駅（トロッコあらしやま）
Torokko Hozukyō Station,トロッコ保津峡駅（トロッコほづきょう）
Torokko Kameoka Station,トロッコ亀岡駅（トロッコかめおか）
Torokko Saga Station,トロッコ嵯峨駅（トロッコさが）
Tosa-Ananai Station,土佐穴内駅（とさあなない）
Tosa-Ikku Station,土佐一宮駅（とさいっく）
Tosa-Irino Station,土佐入野駅（とさいりの）
Tosa-Iwahara Station,土佐岩原駅（とさいわはら）
Tosa-Kamikawaguchi Station,土佐上川口駅（とさかみかわぐち）
Tosa-Kamo Station,土佐加茂駅（とさかも）
Tosa-Kitagawa Station,土佐北川駅（とさきたがわ）
Tosa-Kure Station,土佐久礼駅（とさくれ）
Tosa-Nagaoka Station,土佐長岡駅（とさながおか）
Tosa-Ōtsu Station,土佐大津駅（とさおおつ）
Tosa-Saga Station,土佐佐賀駅（とささが）
Tosa-Shinjō Station,土佐新荘駅（とさしんじょう）
Tosa-Shirahama Station,土佐白浜駅（とさしらはま）
Tosa-Shōwa Station,土佐昭和駅（とさしょうわ）
Tosa-Taishō Station,土佐大正駅（とさたいしょう）
Tosa-Yamada Station,土佐山田駅（とさやまだ）
Toshibetsu Station,利別駅（としべつ）
Toshima Station,豊島駅（としま）
Tōshima Station,十島駅（とおしま）
Toshimaen Station,豊島園駅（としまえん）
Tōshōgū Station,東照宮駅（とうしょうぐう）
Toso Station,唐湊駅（とそ）
Tosu Station,鳥栖駅（とす）
Tōtōmi-Ichinomiya Station,遠江一宮駅（とおとうみいちのみや）
Totoro Station,土々呂駅（ととろ）
Totsuka Station,戸塚駅（とつか）
Tottori Station,鳥取駅（とっとり）
Tottoridaigaku-mae Station,鳥取大学前駅（とっとりだいがくまえ）
Tottorinoshō Station,鳥取ノ荘駅（とっとりのしょう）
Tōun Station,東雲駅 (北海道)（とううん）
Towada-Minami Station,十和田南駅（とわだみなみ）
Towadashi Station,十和田市駅（とわだし）
Towata Station,戸綿駅（とわた）
"Tōya Station (Kushiro, Hokkaidō)",遠矢駅（とおや）
"Tōya Station (Tōyako, Hokkaidō)",洞爺駅（とうや）
Toyama Station,富山駅（とやま）
Toyamaekimae Station,富山駅前駅（とやまえきまえ）
Toyamaguchi Station,富山口駅（とやまぐち）
Toyasaki Station,鳥矢崎駅（とやさき）
Tōyō Katsutadai Station,東葉勝田台駅（とうようかつただい）
Toyoake Station,豊明駅（とよあけ）
Tōyōchō Station,東陽町駅（とうようちょう）
Toyoda Station,豊田駅（とよだ）
Toyodachō Station,豊田町駅（とよだちょう）
Toyodahommachi Station,豊田本町駅（とよだほんまち）
Toyogaoka Station,豊ヶ岡駅（とよがおか）
Toyohama Station,豊浜駅（とよはま）
Toyohara Station,豊原駅（とよはら）
Toyoharu Station,豊春駅（とよはる）
Toyohashi Station,豊橋駅（とよはし）
Toyohashikōemmae Station,豊橋公園前駅（とよはしこうえんまえ）
Toyohirakōen Station,豊平公園駅（とよひらこうえん）
Toyohoro Station,豊幌駅（とよほろ）
Toyokawa Station (Aichi),豊川駅 (愛知県)（とよかわ）
Toyokawa Station (Osaka),豊川駅 (大阪府)（とよかわ）
Toyokawainari Station,豊川稲荷駅（とよかわいなり）
Toyokoro Station,豊頃駅（とよころ）
Toyomane Station,豊間根駅（とよまね）
Toyomi Station,豊実駅（とよみ）
Toyonaga Station,豊永駅（とよなが）
Toyonaka Station,豊中駅（とよなか）
Toyono Station,豊野駅（とよの）
Toyonuma Station,豊沼駅（とよぬま）
Toyooka Station (Hyogo),豊岡駅 (兵庫県)（とよおか）
Toyooka Station (Shizuoka),豊岡駅 (静岡県)（とよおか）
Toyosaka Station,豊栄駅（とよさか）
Toyosato Station (Hokkaidō),豊郷駅 (北海道)（とよさと）
Toyosato Station (Shiga),豊郷駅 (滋賀県)（とよさと）
Toyoshiki Station,豊四季駅（とよしき）
Toyoshimizu Station,豊清水駅（とよしみず）
Toyoshina Station,豊科駅（とよしな）
Toyosu Station,豊洲駅（とよす）
Toyotashi Station,豊田市駅（とよたし）
Toyotomi Station,豊富駅（とよとみ）
Toyotsu Station (Fukuoka),豊津駅 (福岡県)（とよつ）
Toyotsu Station (Osaka),豊津駅 (大阪府)（とよつ）
Toyotsuueno Station,豊津上野駅（とよつうえの）
Toyoura Station,豊浦駅（とようら）
Tozawa Station,戸沢駅（とざわ）
Tozuka-Angyō Station,戸塚安行駅（とづかあんぎょう）
Trade Center-mae Station,トレードセンター前駅（とれーどせんたーまえ）
Tsu Station,津駅（つ）
Tsubaki Station,椿駅（つばき）
Tsubame Station,燕駅（つばめ）
Tsubame-Sanjō Station,燕三条駅（つばめさんじょう）
Tsubata Station,津幡駅（つばた）
Tsubogawa Station,壺川駅（つぼがわ）
Tsuboi Station,坪井駅（つぼい）
Tsuboigawakōen Station,坪井川公園駅（つぼいがわこうえん）
Tsubojiri Station,坪尻駅（つぼじり）
Tsubuku Station,津福駅（つぶく）
Tsuchihashi Station,土橋駅 (愛知県)（つちはし）
Tsuchitaru Station,土樽駅（つちたる）
Tsuchiura Station,土浦駅（つちうら）
Tsuchiyama Station,土山駅（つちやま）
Tsuchizaki Station,土崎駅（つちざき）
Tsuchizawa Station,土沢駅（つちざわ）
Tsuda Station,津田駅（つだ）
Tsudanuma Station,津田沼駅（つだぬま）
Tsudayama Station,津田山駅（つだやま）
Tsūdō Station,通洞駅（つうどう）
Tsuga Station,都賀駅（つが）
Tsugaru-Futamata Station,津軽二股駅（つがるふたまた）
Tsugaru-Goshogawara Station,津軽五所川原駅（つがるごしょがわら）
Tsugaru-Hamana Station,津軽浜名駅（つがるはまな）
Tsugaru-Iizume Station,津軽飯詰駅（つがるいいづめ）
Tsugaru-Imabetsu Station,津軽今別駅（つがるいまべつ）
Tsugaruishi Station,津軽石駅（つがるいし）
Tsugaru-Miyata Station,津軽宮田駅（つがるみやた）
Tsugaru-Nakasato Station,津軽中里駅（つがるなかさと）
Tsugaru-Onoe Station,津軽尾上駅（つがるおのえ）
Tsugaru-Osawa Station,津軽大沢駅（つがるおおさわ）
Tsugaru-Shinjō Station,津軽新城駅（つがるしんじょう）
Tsugaru-Yunosawa Station,津軽湯の沢駅（つがるゆのさわ）
Tsugawa Station,津川駅（つがわ）
Tsuge Station,柘植駅（つげ）
Tsuiki Station,築城駅（ついき）
Tsuji Station,辻駅（つじ）
Tsujidō Station,辻堂駅（つじどう）
Tsukada Station,塚田駅（つかだ）
Tsukaguchi Station (JR West),塚口駅 (JR西日本)（つかぐち）
Tsukaguchi Station (Hankyu),塚口駅 (阪急)（つかぐち）
Tsukahara Station,塚原駅（つかはら）
Tsukamoto Station,塚本駅（つかもと）
Tsukanome Station,塚目駅（つかのめ）
Tsukayama Station,塚山駅（つかやま）
Tsukida Station,月田駅（つきだ）
Tsukigaoka Station,月ヶ岡駅（つきがおか）
Tsukigaseguchi Station,月ヶ瀬口駅（つきがせぐち）
Tsukiji Station,築地駅（つきじ）
Tsukijibashi Station,築地橋駅（つきじばし）
Tsukijiguchi Station,築地口駅（つきじぐち）
Tsukijishijō Station,築地市場駅（つきじしじょう）
Tsukimino Station,つきみ野駅（つきみの）
Tsukimiyama Station,月見山駅（つきみやま）
Tsukinoki Station,槻木駅（つきのき）
Tsukinowa Station,つきのわ駅（つきのわ）
Tsukioka Station (Niigata),月岡駅 (新潟県)（つきおか）
Tsukioka Station (Toyama),月岡駅 (富山県)（つきおか）
Tsukisamu-Chūō Station,月寒中央駅（つきさむちゅうおう）
Tsukishima Station,月島駅（つきしま）
Tsukiyama Station,築山駅（つきやま）
Tsukizaki Station,月崎駅（つきざき）
Tsuko Station,津古駅（つこ）
Tsukuba Station,つくば駅（つくば）
Tsukuba-Sancho Station,筑波山頂駅（つくばさんちょう）
Tsukuda Station (Gunma),津久田駅（つくだ）
Tsukuda Station (Tokushima),佃駅（つくだ）
Tsukuihama Station,津久井浜駅（つくいはま）
Tsukumi Station,津久見駅（つくみ）
Tsukumo Station,津久毛駅（つくも）
Tsukuno Station,津久野駅（つくの）
Tsukushino Station,つくし野駅（つくしの）
Tsumazaki Station,妻崎駅（つまざき）
Tsumori Station,津守駅（つもり）
Tsunagi Station,津奈木駅（つなぎ）
Tsunan Station,津南駅（つなん）
Tsunashima Station,綱島駅（つなしま）
Tsuneyama Station,常山駅（つねやま）
Tsunezumi Station,常澄駅（つねずみ）
Tsuno Station,都農駅（つの）
Tsunozu Station,都野津駅（つのづ）
Tsunogawa Station,角川駅（つのがわ）
Tsunoi Station,津ノ井駅（つのい）
Tsunomori Station,津ノ森駅（つのもり）
Tsuru-bunkadaigaku-mae Station,都留文科大学前駅（つるぶんかだいがくまえ）
Tsurudomari Station,鶴泊駅（つるどまり）
Tsuruga Station,敦賀駅（つるが）
Tsurugamine Station,鶴ヶ峰駅（つるがみね）
Tsurugaoka Station,鶴ヶ丘駅（つるがおか）
Tsurugasaka Station,鶴ヶ坂駅（つるがさか）
Tsurugashima Station,鶴ヶ島駅（つるがしま）
Tsurugata Station,鶴形駅（つるがた）
Tsurugi Station,鶴来駅（つるぎ）
Tsuruhara Station,鶴原駅（つるはら）
Tsuruhashi Station,鶴橋駅（つるはし）
Tsurui Station,鶴居駅（つるい）
Tsurukawa Station,鶴川駅（つるかわ）
Tsuruma Station,鶴間駅（つるま）
Tsurumai Station,鶴舞駅（つるまい）
Tsurumakionsen Station,鶴巻温泉駅（つるまきおんせん）
Tsurumaru Station,鶴丸駅（つるまる）
Tsurumi Station,鶴見駅（つるみ）
Tsurumi-Ichiba Station,鶴見市場駅（つるみいちば）
Tsurumi-Ono Station,鶴見小野駅（つるみおの）
Tsurumiryokuchi Station,鶴見緑地駅（つるみりょくち）
Tsurunuma Station,鶴沼駅（つるぬま）
Tsuruoka Station,鶴岡駅（つるおか）
Tsurusaki Station,鶴崎駅（つるさき）
Tsurusato Station,鶴里駅（つるさと）
Tsuruse Station,鶴瀬駅（つるせ）
Tsurushi Station,都留市駅（つるし）
Tsuruta Station,鶴田駅（つるた）
Tsuruwa Station,鶴羽駅（つるわ）
Tsushima Station,津島駅（つしま）
Tsushimanomiya Station,津島ノ宮駅（つしまのみや）
Tsushinmachi Station,津新町駅（つしんまち）
Tsusumi Station,都住駅（つすみ）
Tsutsui Station (Aomori),筒井駅 (青森県)（つつい）
Tsutsui Station (Nara),筒井駅 (奈良県)（つつい）
Tsutsuishi Station,筒石駅（つついし）
Tsutsujigaoka Station (Miyagi),榴ヶ岡駅（つつじがおか）
Tsutsujigaoka Station (Tokyo),つつじヶ丘駅（つつじがおか）
Tsuwano Station,津和野駅（つわの）
Tsuya Station,津谷駅（つや）
Tsuyama Station,津山駅（つやま）
Tsuyamaguchi Station,津山口駅（つやまぐち）
Tsuyazaki Station,津屋崎駅（つやざき）
Tsuzu Station,通津駅（つづ）
Tsuzuki Station,都筑駅（つづき）
Tsuzuki-Fureai-no-Oka Station,都筑ふれあいの丘駅（つづきふれあいのおか）
Tsuzumigataki Station,鼓滝駅（つづみがたき）
Tsuzumigaura Station,鼓ヶ浦駅（つづみがうら）
Ubadō Station,姥堂駅（うばどう）
Ubara Station,鵜原駅（うばら）
Ubashima Station,祖母島駅（うばしま）
Ube Station,宇部駅（うべ）
Ubemisaki Station,宇部岬駅（うべみさき）
Ube-Shinkawa Station,宇部新川駅（うべしんかわ）
Uchida Station,内田駅（うちだ）
Uchide Station,打出駅（うちで）
Uchigamaki Station,内ヶ巻駅（うちがまき）
Uchigō Station,内郷駅（うちごう）
Uchihara Station,内原駅（うちはら）
Uchijuku Station,内宿駅（うちじゅく）
Uchiko Station,内子駅（うちこ）
Uchikoshi Station,打越駅（うちこし）
Uchina Station,内名駅（うちな）
Uchinada Station,内灘駅（うちなだ）
Uchino Station,内野駅（うちの）
Uchinoda Station,内之田駅（うちのだ）
Uchinomaki Station,内牧駅（うちのまき）
Uchino-Nishigaoka Station,内野西が丘駅（うちのにしがおか）
Uchisaiwaichō Station,内幸町駅（うちさいわいちょう）
Uchita Station,打田駅（うちた）
Uchiumi Station,内海駅 (宮崎県)（うちうみ）
Uchiyama Station,内山駅（うちやま）
Udono Station,鵜殿駅（うどの）
Uebayashi Station,上林駅（うえばやし）
Ueda Station (Aichi),植田駅 (名古屋市)（うえだ）
Ueda Station (Fukushima),植田駅 (福島県)（うえだ）
Ueda Station (Nagano),上田駅（うえだ）
Uedahara Station,上田原駅（うえだはら）
Uedai Station,植大駅（うえだい）
Ueki Station,植木駅（うえき）
Uematsu Station,植松駅（うえまつ）
Uemura Station,植村駅（うえむら）
Uenae Station,植苗駅（うえなえ）
Ueno Station,上野駅（うえの）
Ueno Dōbutsuen Higashien Station,上野動物園東園駅（うえのどうぶつえんひがしえん）
Ueno Dōbutsuen Nishien Station,上野動物園西園駅（うえのどうぶつえんにしえん）
Uenohara Station,上野原駅（うえのはら）
Ueno-Hirokōji Station,上野広小路駅（うえのひろこうじ）
Ueno-Okachimachi Station,上野御徒町駅（うえのおかちまち）
Uenoshi Station,上野市駅（うえのし）
Uenoshiba Station,上野芝駅（うえのしば）
Ueta Station,植田駅 (愛知県豊橋市)（うえた）
Ugata Station,鵜方駅（うがた）
Uge Station,有家駅 (岩手県)（うげ）
Ugo-Honjō Station,羽後本荘駅（うごほんじょう）
Ugo-Iizuka Station,羽後飯塚駅（うごいいづか）
Ugo-Iwaya Station,羽後岩谷駅（うごいわや）
Ugo-Kameda Station,羽後亀田駅（うごかめだ）
Ugo-Nagano Station,羽後長野駅（うごながの）
Ugo-Nagatoro Station,羽後長戸呂駅（うごながとろ）
Ugo-Nakazato Station,羽後中里駅（うごなかざと）
Ugo-Ōta Station,羽後太田駅（うごおおた）
Ugo-Sakai Station,羽後境駅（うごさかい）
Ugo-Ushijima Station,羽後牛島駅（うごうしじま）
Ugo-Yotsuya Station,羽後四ツ屋駅（うごよつや）
Uguisudani Station,鶯谷駅（うぐいすだに）
Uguisuno Station,鶯野駅（うぐいすの）
Uguisunomori Station,鶯の森駅（うぐいすのもり）
Uguisuzawa Station,鶯沢駅（うぐいすざわ）
Uguisuzawa Kōgyōkōkō Mae Station,鶯沢工業高校前駅（うぐいすざわこうぎょうこうこうまえ）
Ugusu Station,鶯巣駅（うぐす）
Uji Station (JR West),宇治駅 (JR西日本)（うじ）
Uji Station (Keihan),宇治駅 (京阪)（うじ）
Ujiie Station,氏家駅（うじいえ）
Ujina 2-chome Station,宇品二丁目駅（うじなにちょうめ）
Ujina 3-chome Station,宇品三丁目駅（うじなさんちょうめ）
Ujina 4-chome Station,宇品四丁目駅（うじなよんちょうめ）
Ujina 5-chome Station,宇品五丁目駅（うじなごちょうめ）
Ujina Station,広島港駅（ひろしまこう（うじな））
Ujiyamada Station,宇治山田駅（うじやまだ）
Ukahongō Station,宇賀本郷駅（うかほんごう）
Ukai Station,鵜飼駅 (広島県)（うかい）
Ukawa Station,鵜川駅（うかわ）
Ukiana Station,浮孔駅（うきあな）
Ukibuchi Station,浮鞭駅（うきぶち）
Ukiha Station,うきは駅
Ukimafunado Station,浮間舟渡駅（うきまふなど）
Ukishimachō Station,浮島町駅（うきしまちょう）
Ukui Station,宇久井駅（うくい）
Umahori Station,馬堀駅（うまほり）
Umamichi Station,馬道駅（うまみち）
Umatate Station,馬立駅（うまたて）
Umebayashi Station,梅林駅 (福岡県)（うめばやし）
Umeda Station,梅田駅（うめだ）
Umedoi Station,梅戸井駅（うめどい）
Umegadani Station,梅ヶ谷駅（うめがだに）
Umegaoka Station,梅ヶ丘駅（うめがおか）
Umegasawa Station,梅ヶ沢駅（うめがさわ）
Umegatō Station,梅ヶ峠駅（うめがとう）
Umejima Station,梅島駅（うめじま）
Umenomoto Station,梅本駅（うめのもと）
Umesato Station,梅郷駅（うめさと）
Umetsubo Station,梅坪駅（うめつぼ）
Umeyama Station,梅山駅（うめやま）
Umeyashiki Station (Nara),梅屋敷駅 (奈良県)（うめやしき）
Umeyashiki Station (Tokyo),梅屋敷駅 (東京都)（うめやしき）
Umezako Station,梅迫駅（うめざこ）
Umi Station,宇美駅（うみ）
Umijiri Station,海尻駅（うみじり）
Uminokōen Minamiguchi Station,海の公園南口駅（うみのこうえんみなみぐち）
Uminokōen Shibaguchi Station,海の公園柴口駅（うみのこうえんしばぐち）
Uminokuchi Station,海ノ口駅（うみのくち）
Uminonakamichi Station,海ノ中道駅（うみのなかみち）
Uminoōmukae Station,海の王迎駅（うみのおうむかえ）
Uminoura Station,海浦駅（うみのうら）
Umishibaura Station,海芝浦駅（うみしばうら）
Unazuki Station,宇奈月駅（うなづき）
Unazukionsen Station,宇奈月温泉駅（うなづきおんせん）
Undōkōen Station (Gunma),運動公園駅 (群馬県)（うんどうこうえん）
Undōkōen Station (Miyazaki),運動公園駅 (宮崎県)（うんどうこうえん）
Undōkōenmae Station (Aomori),運動公園前駅 (青森県)（うんどうこうえんまえ）
Une Station,有年駅（うね）
Unebi Station,畝傍駅（うねび）
Unebi-Goryōmae Station,畝傍御陵前駅（うねびごりょうまえ）
Uneno Station,畦野駅（うねの）
Unga Station,運河駅（うんが）
Universal City Station,ユニバーサルシティ駅
Uno Station,宇野駅（うの）
Unobe Station,宇野辺駅（うのべ）
Unoke Station,宇野気駅（うのけ）
Unoki Station,鵜の木駅（うのき）
Unomachi Station,卯之町駅（うのまち）
Unoshima Station,宇島駅（うのしま）
Unosumai Station,鵜住居駅（うのすまい）
Unsenji Station,雲泉寺駅（うんせんじ）
Unshū-Hirata Station,雲州平田駅（うんしゅうひらた）
Unuma Station,鵜沼駅（うぬま）
Unumajuku Station,鵜沼宿駅（うぬまじゅく）
Uonuma-Kyūryō Station,魚沼丘陵駅（うおぬまきゅうりょう）
Uonuma-Nakajō Station,魚沼中条駅（うおぬまなかじょう）
Uonuma-Tanaka Station,魚沼田中駅（うおぬまたなか）
Uozaki Station,魚崎駅（うおざき）
Uozu Station,魚津駅（うおづ）
Uozumi Station,魚住駅（うおずみ）
Urada Station,浦田駅 (岡山県)（うらだ）
Uraga Station,浦賀駅（うらが）
Uragawara Station,うらがわら駅
Urahoro Station,浦幌駅（うらほろ）
Urakami Station,浦上駅（うらかみ）
Urakamiekimae Station,浦上駅前駅（うらかみえきまえ）
Urakawa Station (Hokkaido),浦河駅（うらかわ）
Urakawa Station (Shizuoka),浦川駅（うらかわ）
Uramoto Station,浦本駅（うらもと）
Uranosaki Station,浦ノ崎駅（うらのさき）
Urasa Station,浦佐駅（うらさ）
Urashuku Station,浦宿駅（うらしゅく）
Urata Station,浦田駅 (福岡県)（うらた）
Urausu Station,浦臼駅（うらうす）
Urawa Station,浦和駅（うらわ）
Urawa-Misono Station,浦和美園駅（うらわみその）
Urayama Station,浦山駅（うらやま）
Urayamaguchi Station,浦山口駅（うらやまぐち）
Urayasu Station (Chiba),浦安駅 (千葉県)（うらやす）
Urayasu Station (Tottori),浦安駅 (鳥取県)（うらやす）
Ureshino-onsen Station,嬉野温泉駅（うれしのおんせん）
Urizura Station,瓜連駅（うりづら）
Urushiyama Station,漆山駅 (山形県)（うるしやま）
Usa Station,宇佐駅（うさ）
Usami Station,宇佐美駅（うさみ）
Ushibuchi Station,牛渕駅（うしぶち）
Ushibuchidanchimae Station,牛渕団地前駅（うしぶちだんちまえ）
Ushida Station (Aichi),牛田駅 (愛知県)（うしだ）
Ushida Station (Tokyo),牛田駅 (東京都)（うしだ）
Ushizu Station,牛津駅（うしづ）
Ushigome-Kagurazaka Station,牛込神楽坂駅（うしごめかぐらざか）
Ushigome-Yanagichō Station,牛込柳町駅（うしごめやなぎちょう）
Ushihama Station,牛浜駅（うしはま）
Ushiku Station,牛久駅（うしく）
Ushikubo Station,牛久保駅（うしくぼ）
Ushinohama Station,牛ノ浜駅（うしのはま）
Ushinoshima Station,牛島駅（うしのしま）
Ushinoya Station,牛ノ谷駅（うしのや）
Ushio Station,潮駅（うしお）
Ushirogata Station,後潟駅（うしろがた）
Ushita Station,牛田駅 (広島県)（うした）
Ushiyama Station,牛山駅（うしやま）
Usu Station,有珠駅（うす）
Usuda Station,臼田駅（うすだ）
Usugi Station,鵜杉駅（うすぎ）
Usuki Station (Kagoshima),宇宿駅（うすき）
Usuki Station (Oita),臼杵駅（うすき）
Utagō Station,宇田郷駅（うたごう）
Utanai Station,歌内駅（うたない）
Utano Station,宇多野駅（うたの）
Utatsu Station,歌津駅（うたつ）
Utazu Station,宇多津駅（うたづ）
Uto Station,宇土駅（うと）
Utoma Station,鵜苫駅（うとま）
Utō Station,宇頭駅（うとう）
Utsube Station,内部駅（うつべ）
Utsubo Station,打保駅（うつぼ）
Utsubuna Station,内船駅（うつぶな）
Utsuigawa Station,打井川駅（うついがわ）
Utsumi Station,内海駅 (愛知県)（うつみ）
Utsunomiya Station,宇都宮駅（うつのみや）
Utsunomiya Kamotsu Terminal Station,宇都宮貨物ターミナル駅（うつのみやかもつたーみなる）
Utsutsugawa Station,現川駅（うつつがわ）
Uwagoromo Station,上挙母駅（うわごろも）
Uwajima Station,宇和島駅（うわじま）
Uyagawa Station,敬川駅（うやがわ）
Uzen-Chitose Station,羽前千歳駅（うぜんちとせ）
Uzen-Kanezawa Station,羽前金沢駅（うぜんかねざわ）
Uzen-Komatsu Station,羽前小松駅（うぜんこまつ）
Uzen-Matsuoka Station,羽前松岡駅（うぜんまつおか）
Uzen-Mizusawa Station,羽前水沢駅（うぜんみずさわ）
Uzen-Nagasaki Station,羽前長崎駅（うぜんながさき）
Uzen-Nakayama Station,羽前中山駅（うぜんなかやま）
Uzen-Narita Station,羽前成田駅（うぜんなりた）
Uzen-Numazawa Station,羽前沼沢駅（うぜんぬまざわ）
Uzen-Ōyama Station,羽前大山駅（うぜんおおやま）
Uzen-Takamatsu Station,羽前高松駅（うぜんたかまつ）
Uzen-Toyosato Station,羽前豊里駅（うぜんとよさと）
Uzen-Tsubaki Station,羽前椿駅（うぜんつばき）
Uzen-Yamabe Station,羽前山辺駅（うぜんやまべ）
Uzen-Zennami Station,羽前前波駅（うぜんぜんなみ）
Uzui Station,宇都井駅（うづい）
Uzumasa Station,太秦駅（うずまさ）
Uzumasa-Kōryūji Station,太秦広隆寺駅（うずまさこうりゅうじ）
Uzumasa Tenjingawa Station,太秦天神川駅（うずまさてんじんがわ）
Wabuchi Station,和渕駅（わぶち）
Wabuka Station,和深駅（わぶか）
Wachi Station,和知駅（わち）
Wada Station,和田駅（わだ）
Wadazuka Station,和田塚駅（わだづか）
Wadagahara Station,和田河原駅（わだがはら）
Wadahama Station,和田浜駅（わだはま）
Wadamachi Station,和田町駅（わだまち）
Wadamisaki Station,和田岬駅（わだみさき）
Wadaura Station,和田浦駅（わだうら）
Wadayama Station,和田山駅（わだやま）
Wado Station,和戸駅（わど）
Wadō Kuroya Station,和銅黒谷駅（わどうくろや）
Wajiki Station,和食駅（わじき）
Wajiro Station,和白駅（わじろ）
Wakaba Station,若葉駅（わかば）
Wakabadai Station,若葉台駅（わかばだい）
Wakabayashi Station (Aichi),若林駅 (愛知県)（わかばやし）
Wakabayashi Station (Tokyo),若林駅 (東京都)（わかばやし）
Wakae-Iwata Station,若江岩田駅（わかえいわた）
Wakaguri Station,若栗駅（わかぐり）
Wakai Station,若井駅（わかい）
Wakamatsu Station,若松駅（わかまつ）
Wakamatsu-Kawada Station,若松河田駅（わかまつかわだ）
Wakamiya Station,若宮駅（わかみや）
Wakasa Station,若桜駅（わかさ）
Wakasa-Arita Station,若狭有田駅（わかさありた）
Wakasa-Hongō Station,若狭本郷駅（わかさほんごう）
Wakasa-Takahama Station,若狭高浜駅（わかさたかはま）
Wakasa-Wada Station,若狭和田駅（わかさわだ）
Waka-Sennin Station,和賀仙人駅（わかせんにん）
Wakayama Station,和歌山駅（わかやま）
Wakayamadaigakumae Station,和歌山大学前駅（わかやまだいがくまえ）
Wakayamakō Station,和歌山港駅（わかやまこう）
Wakayamashi Station,和歌山市駅（わかやまし）
Wakayanagi Station,若柳駅（わかやなぎ）
Wake Station,和気駅（わけ）
Waki Station,和木駅（わき）
Wakigami Station,掖上駅（わきがみ）
Wakimoto Station,脇本駅（わきもと）
Wakinoda Station,脇野田駅（わきのだ）
Wakinosawa Station,脇ノ沢駅（わきのさわ）
Wakkanai Station,稚内駅（わっかない）
Wakōshi Station,和光市駅（わこうし）
Wakuraonsen Station,和倉温泉駅（わくらおんせん）
Wakuya Station,涌谷駅（わくや）
Wani Station,和邇駅（わに）
Wanishi Station,輪西駅（わにし）
Warabi Station,蕨駅（わらび）
Warabitai Station,蕨岱駅（わらびたい）
Waridashi Station,割出駅（わりだし）
Wasa Station,和佐駅（わさ）
Waseda Station (Toden),早稲田駅 (東京都交通局)（わせだ）
Waseda Station (Tokyo Metro),早稲田駅（わせだ）
Washibetsu Station,鷲別駅（わしべつ）
Washizu Station,鷲津駅（わしづ）
Washizuka-Haribara Station,鷲塚針原駅（わしづかはりばら）
Washinomiya Station,鷲宮駅（わしのみや）
Washinosu Station,鷲ノ巣駅（わしのす）
Wassamu Station,和寒駅（わっさむ）
Watada Station,和多田駅（わただ）
Watanabebashi Station,渡辺橋駅（わたなべばし）
Watanabedōri Station,渡辺通駅（わたなべどおり）
Watanoha Station,渡波駅（わたのは）
Watarase Station,渡瀬駅 (群馬県)（わたらせ）
Watari Station (Kumamoto),渡駅（わたり）
Watari Station (Miyagi),亘理駅（わたり）
Watarigawa Station,渡川駅（わたりがわ）
Wataze Station,渡瀬駅 (福岡県)（わたぜ）
Wespa Tsubakiyama Station,ウェスパ椿山駅（うぇすぱつばきやま）
Woody Town Chūō Station,ウッディタウン中央駅（うっでぃたうんちゅうおう）
Yabachō Station,矢場町駅（やばちょう）
Yabara Station,矢原駅（やばら）
Yabase Station,八橋駅（やばせ）
Yabashira Station,八柱駅（やばしら）
Yabe Station,矢部駅（やべ）
Yabitsu Station,矢美津駅（やびつ）
Yabu Station,養父駅（やぶ）
Yabuhara Station,藪原駅（やぶはら）
Yabukami Station,藪神駅（やぶかみ）
Yabuki Station,矢吹駅（やぶき）
Yabuzuka Station,藪塚駅（やぶづか）
Yachihata Station,谷地畑駅（やちはた）
Yachiho Station,八千穂駅（やちほ）
Yachimata Station,八街駅（やちまた）
Yachiyo-Chūō Station,八千代中央駅（やちよちゅうおう）
Yachiyodai Station,八千代台駅（やちよだい）
Yachiyo-Midorigaoka Station,八千代緑が丘駅（やちよみどりがおか）
Yada Station,矢田駅 (愛知県)（やだ）
Yadamae Station,矢田前駅（やだまえ）
Yaenosato Station,八戸ノ里駅（やえのさと）
Yaga Station (Kanagawa),谷峨駅（やが）
Yaga Station (Hiroshima),矢賀駅（やが）
Yagami Station,矢神駅（やがみ）
Yagawa Station,矢川駅（やがわ）
Yagawara Station,谷河原駅（やがわら）
Yagi Station,八木駅（やぎ）
Yagihara Station,八木原駅（やぎはら）
Yagi-nishiguchi Station,八木西口駅（やぎにしぐち）
Yagiri Station,矢切駅（やぎり）
Yagisaki Station,八木崎駅（やぎさき）
Yagisawa Station,八木沢駅（やぎさわ）
Yagiyama Zoological Park Station,八木山動物公園駅（やぎやまどうぶつこうえん）
Yagoshi Station,矢越駅（やごし）
Yagoshima Station,弥五島駅（やごしま）
Yagoto Station,八事駅（やごと）
Yagotonisseki Station,八事日赤駅（やごとにっせき）
Yaguchinowatashi Station,矢口渡駅（やぐちのわたし）
Yagumadai Station,やぐま台駅（やぐまだい）
Yagura Station,矢倉駅（やぐら）
Yagyū Station,柳生駅（やぎゅう）
Yagyūbashi Station,柳生橋駅（やぎゅうばし）
Yahaba Station,矢幅駅（やはば）
Yahagi Station,矢作駅（やはぎ）
Yahagibashi Station,矢作橋駅（やはぎばし）
